"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","x"
6,12,13,13,13,8,19,30,14,13,9,10,10,14,18,17,13,11,12,11,0
5,5,1,0,0,6,7,8,3,4,5,1,3,5,13,15,13,13,2,1,1
5,10,4,7,12,12,7,13,20,9,7,5,9,8,11,14,16,10,8,2,0
3,3,0,8,7,3,0,4,6,1,3,2,1,0,1,5,0,5,14,11,1
9,12,7,5,5,2,4,6,0,1,1,4,4,3,7,13,13,5,3,0,1
2,2,5,5,5,5,5,6,1,4,4,1,0,1,6,11,3,8,4,0,1
0,7,3,1,4,4,2,2,2,1,4,0,0,0,1,4,2,1,1,1,0
0,0,0,1,0,0,0,0,0,0,0,0,3,3,2,3,4,2,3,6,0
10,6,0,0,0,0,0,2,0,0,3,5,0,0,0,0,0,4,4,1,0
3,0,0,0,6,11,7,8,3,6,7,0,0,3,6,7,6,8,5,1,1
6,8,3,6,2,14,10,0,0,0,0,0,11,9,0,11,7,5,3,7,0
4,4,5,2,4,2,4,8,0,0,0,2,11,5,5,4,3,1,0,0,0
3,2,1,2,0,0,3,3,0,3,6,0,0,3,3,1,1,1,0,0,1
4,13,9,4,5,11,12,17,23,16,30,23,15,7,10,8,0,3,10,6,1
2,7,9,5,5,0,4,10,12,7,13,29,15,7,10,9,6,8,11,12,1
12,19,19,16,27,40,67,59,43,89,118,153,105,63,34,24,9,6,11,12,1
72,79,82,51,23,16,43,59,70,63,158,159,179,242,202,174,147,99,114,202,1
237,86,46,46,28,19,75,207,153,224,226,119,63,51,44,20,8,14,39,54,1
3,1,4,4,8,7,4,3,7,11,14,20,15,8,11,5,6,5,0,3,1
2,4,4,1,1,4,6,5,4,0,1,11,4,0,0,1,5,1,2,5,0
0,0,0,2,2,0,0,0,0,0,0,3,0,2,2,1,3,6,3,0,0
1,3,2,8,4,0,3,3,0,0,0,0,0,0,0,2,0,2,2,0,0
0,3,5,2,0,0,5,5,1,4,3,1,2,3,3,0,2,2,0,1,0
6,5,25,21,5,8,21,8,14,21,13,13,18,11,16,13,10,10,16,8,1
13,10,4,4,10,8,4,0,0,7,5,0,4,9,6,0,0,1,1,2,0
7,1,1,2,2,1,5,9,4,6,4,0,0,0,3,1,4,4,0,4,0
8,6,1,1,2,9,16,14,13,11,3,4,6,6,1,4,3,2,0,0,0
8,5,0,1,6,7,4,6,4,2,10,10,1,1,2,8,4,7,8,3,0
3,2,4,8,8,5,10,2,9,6,2,4,1,1,2,0,1,7,5,5,1
13,10,12,18,23,15,20,27,15,4,3,12,14,11,6,6,3,3,3,0,1
0,2,6,5,10,14,6,3,2,9,4,5,14,22,4,4,5,2,0,3,1
2,0,2,4,7,8,4,3,3,1,0,1,0,2,3,5,9,6,6,2,0
1,0,1,2,12,18,8,6,6,9,6,2,6,9,4,8,7,7,8,4,0
4,3,4,12,12,6,5,6,24,19,28,35,50,32,19,24,13,9,5,6,1
2,0,2,3,4,4,2,0,0,2,7,7,9,9,3,5,2,2,5,1,0
4,8,8,3,3,1,4,4,5,3,4,1,1,1,2,4,1,0,0,0,0
14,15,17,15,10,12,14,49,130,133,132,94,50,37,24,9,6,10,11,7,1
1,7,4,2,1,4,7,10,1,8,7,4,2,0,0,1,0,0,2,9,0
7,1,1,3,1,2,4,0,5,11,10,3,4,2,1,7,7,3,5,3,1
0,0,0,0,3,5,6,6,3,5,2,2,1,1,2,2,3,2,4,4,0
1,1,0,1,5,10,16,1,9,17,10,4,2,5,0,1,2,3,5,2,1
1,1,0,1,1,0,0,0,0,3,7,3,0,1,1,0,4,8,6,10,0
3,1,1,1,7,13,7,3,4,9,10,5,5,3,3,1,1,2,3,4,0
0,0,0,1,3,1,0,4,8,0,0,3,3,1,1,1,2,0,0,0,1
0,0,4,5,4,6,6,8,6,2,4,5,0,1,2,6,5,6,4,0,0
1,6,6,18,18,5,6,9,7,10,10,10,6,13,9,7,4,9,5,1,0
8,7,2,8,9,2,18,9,1,9,9,6,7,6,7,5,7,9,11,8,0
26,26,17,9,9,11,11,13,14,18,24,8,7,7,1,2,3,4,2,0,1
0,0,0,1,15,16,8,6,3,3,18,7,14,10,10,9,4,5,5,6,0
7,8,7,12,8,12,15,2,0,0,0,7,7,0,0,0,0,3,8,10,0
0,1,1,0,4,4,1,3,5,2,8,8,0,1,3,0,0,0,0,0,1
0,2,14,14,9,8,13,11,12,5,7,6,8,3,31,36,15,20,20,13,1
7,5,2,7,3,0,0,0,0,0,0,0,0,0,5,5,5,3,6,12,0
9,18,23,24,21,16,16,33,56,69,46,25,11,3,5,5,6,20,19,4,1
11,11,7,10,12,3,1,2,6,1,7,9,5,6,1,21,9,6,3,4,0
0,7,11,5,3,3,3,6,4,7,10,4,10,11,12,8,3,5,5,5,1
0,3,3,0,1,0,0,3,2,0,0,0,3,13,16,5,1,6,6,3,0
79,119,118,56,49,35,19,9,12,19,18,18,7,2,0,0,0,0,0,0,1
8,15,11,15,4,5,8,3,8,9,12,11,5,4,2,0,9,16,53,90,0
20,12,13,13,12,8,2,5,8,3,5,11,9,12,13,14,15,16,11,13,0
19,16,8,11,9,2,0,2,2,0,0,0,0,0,3,5,3,6,4,12,0
5,3,3,10,10,13,9,6,9,6,7,19,23,22,14,10,9,5,12,21,0
1,1,2,6,8,2,2,4,3,5,5,1,4,8,7,0,2,6,6,1,0
16,11,12,19,19,10,25,10,17,22,9,5,9,4,14,26,29,32,20,7,0
1,1,5,5,1,8,25,31,69,100,39,31,14,3,8,13,4,3,2,0,1
0,0,0,0,0,1,6,5,4,6,8,0,1,6,10,5,3,4,1,0,0
0,5,9,8,6,8,9,3,3,1,2,6,3,9,5,9,13,7,8,4,0
10,5,1,8,8,9,8,11,16,24,27,15,8,7,6,8,4,10,19,16,1
11,12,6,3,2,0,0,3,7,12,14,7,2,4,3,7,1,3,4,7,0
4,6,2,8,6,2,5,6,16,21,13,5,8,3,5,14,19,6,11,12,1
1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,7,4,0,3,3,0
3,12,17,17,10,6,2,4,5,4,12,16,11,13,11,12,1,3,5,6,0
88,142,80,23,12,12,9,31,64,74,40,7,5,8,8,8,5,5,9,13,1
1,0,0,8,18,40,118,107,78,31,52,65,35,38,54,53,31,22,23,19,1
0,4,1,1,0,0,1,2,2,3,1,0,0,0,0,2,2,2,2,5,0
2,5,42,21,1,23,43,48,102,363,437,286,291,248,210,185,174,100,53,30,1
