V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
3,6,10,6,8,1,7,27,44,14,20,39,15,0,0,0,0,0,0,2
24,35,24,20,33,51,78,136,132,70,77,97,53,15,8,3,11,14,7,5
12,27,28,21,16,32,39,63,126,175,176,134,91,40,21,12,6,20,35,15
1,2,5,6,0,0,0,11,25,32,27,26,36,25,13,8,11,13,39,28
1,0,1,5,2,0,0,0,1,2,3,1,2,6,5,1,1,5,3,4
8,5,12,12,15,20,28,26,16,23,35,88,142,185,131,59,76,76,150,148
9,17,10,6,2,20,40,29,47,53,60,71,53,33,9,5,5,5,8,22
23,28,26,41,37,20,33,45,31,37,61,130,180,96,51,55,139,149,65,20
22,38,26,20,17,26,52,101,173,189,201,202,75,81,60,43,17,13,26,36
50,58,67,41,27,46,66,136,222,255,152,110,106,30,8,7,12,25,22,11
40,42,28,57,97,138,142,279,305,153,98,144,52,18,17,17,23,22,12,7
45,62,84,80,98,150,118,103,85,55,40,12,1,6,9,25,30,16,9,8
5,4,3,9,11,9,24,35,19,12,32,22,3,5,4,10,7,0,1,5
10,10,9,4,1,7,67,130,168,123,119,140,38,26,23,22,20,15,13,10
0,9,7,29,45,49,88,174,155,105,114,155,107,43,7,6,9,19,12,5
5,8,20,30,10,20,25,14,16,28,559,546,12,33,36,23,21,13,19,19
5,6,5,7,4,3,3,43,66,45,47,107,111,57,28,18,10,7,14,15
11,30,50,56,29,18,22,24,45,71,39,35,39,39,35,49,24,7,12,32
17,20,17,18,14,20,32,81,117,76,154,241,162,57,29,29,28,32,37,29
35,47,39,22,11,20,54,92,60,105,158,131,105,103,54,35,26,17,5,18
176,133,102,75,44,36,31,64,86,65,34,30,10,15,41,42,43,40,37,46
18,14,10,10,13,2,7,13,31,28,22,12,7,8,16,23,7,1,2,2
25,25,18,24,13,10,25,48,171,171,111,148,158,90,31,13,12,24,40,30
17,3,8,7,5,10,10,9,10,8,5,0,7,16,9,1,6,6,12,21
24,58,66,165,251,147,91,271,213,131,67,41,42,47,52,26,21,9,19,16
